date,source,market,stock_id,available_volume,susp_margin_short,susp_sbl_short,no_below_flat
2026-09-03,TWT96U,twse,00985A,1197454,,,
2026-09-03,TWT96U,tpex,3285,13991,,,
2026-09-03,TWT96U,twse,00985B,1923213,,,
2026-09-03,TWT96U,tpex,3287,125949,,,
2026-09-03,TWT96U,twse,00986A,103585,,,
2026-09-03,TWT96U,tpex,3289,222258,,,
2026-09-03,TWT96U,twse,00987A,880032,,,
2026-09-03,TWT96U,tpex,3290,197119,,,
2026-09-03,TWT96U,twse,00988A,13889020,,,
2026-09-03,TWT96U,tpex,3293,907742,,,
2026-09-03,TWT96U,twse,00989A,303540,,,
2026-09-03,TWT96U,tpex,3294,106991,,,
2026-09-03,TWT96U,twse,00990A,5737785,,,
2026-09-03,TWT96U,tpex,3297,22180,,,
2026-09-03,TWT96U,twse,00991A,45569350,,,
2026-09-03,TWT96U,tpex,3303,139184,,,
2026-09-03,TWT96U,twse,00991B,344556,,,
2026-09-03,TWT96U,tpex,3306,31062,,,
2026-09-03,TWT96U,twse,00992A,14263605,,,
2026-09-03,TWT96U,tpex,3310,4301,,,
2026-09-03,TWT96U,twse,00993A,2208137,,,
2026-09-03,TWT96U,tpex,3313,51435,,,
2026-09-03,TWT96U,twse,00994A,1296130,,,
2026-09-03,TWT96U,tpex,3317,262128,,,
2026-09-03,TWT96U,twse,00995A,1699624,,,
2026-09-03,TWT96U,tpex,3322,125130,,,
2026-09-03,TWT96U,twse,00996A,1887532,,,
2026-09-03,TWT96U,tpex,3323,126603,,,
2026-09-03,TWT96U,twse,00997A,2929489,,,
2026-09-03,TWT96U,tpex,3324,1024361,,,
2026-09-03,TWT96U,twse,00999A,4362555,,,
2026-09-03,TWT96U,tpex,3332,2656,,,
2026-09-03,TWT96U,twse,1101,14292033,,,
2026-09-03,TWT96U,tpex,3339,635531,,,
2026-09-03,TWT96U,twse,1102,3422536,,,
2026-09-03,TWT96U,tpex,3354,83321,,,
2026-09-03,TWT96U,twse,1103,126744,,,
2026-09-03,TWT96U,tpex,3357,655505,,,
2026-09-03,TWT96U,twse,1104,300816,,,
2026-09-03,TWT96U,tpex,3360,275685,,,
2026-09-03,TWT96U,twse,1108,83955,,,
2026-09-03,TWT96U,tpex,3362,2428981,,,
2026-09-03,TWT96U,twse,1109,37583,,,
2026-09-03,TWT96U,tpex,3363,1234865,,,
2026-09-03,TWT96U,twse,1110,76652,,,
2026-09-03,TWT96U,tpex,3373,61110,,,
2026-09-03,TWT96U,twse,1201,111345,,,
2026-09-03,TWT96U,tpex,3374,5217148,,,
2026-09-03,TWT96U,twse,1203,8703,,,
2026-09-03,TWT96U,tpex,3379,60469,,,
2026-09-03,TWT96U,twse,1210,717348,,,
2026-09-03,TWT96U,tpex,3388,692734,,,
2026-09-03,TWT96U,twse,1215,256965,,,
2026-09-03,TWT96U,tpex,3390,60217,,,
2026-09-03,TWT96U,twse,1216,5017980,,,
2026-09-03,TWT96U,tpex,3402,131358,,,
2026-09-03,TWT96U,twse,1217,142102,,,
2026-09-03,TWT96U,tpex,3430,166709,,,
2026-09-03,TWT96U,twse,1218,479022,,,
2026-09-03,TWT96U,tpex,3434,30180,,,
2026-09-03,TWT96U,twse,1219,175715,,,
2026-09-03,TWT96U,tpex,3438,55067,,,
