date,stock_id,stock_name,disposition_cnt,condition,measure,period_start,period_end
2018-12-24,076234,國巨國泰7C購01,1,連續三次,第一次處置,2018-12-25,2019-01-09
2018-09-10,076585,國巨中信7B購02,1,連續三次,第一次處置,2018-09-11,2018-09-25
2018-09-26,076742,國巨統一7A購06,2,連續三次,第一次處置,2018-09-27,2018-10-11
2018-10-01,076742,國巨統一7A購06,2,連續三次,第二次處置,2018-10-02,2018-10-16
2021-07-20,076936,群創國泰07購02,1,連續三次,第一次處置,2021-07-21,2021-08-03
2018-09-13,076954,國巨日盛7B購01,2,連續三次,第一次處置,2018-09-14,2018-09-28
2018-09-18,076954,國巨日盛7B購01,2,連續三次,第二次處置,2018-09-19,2018-10-03
2018-08-23,076960,華新科中信7B購01,1,連續三次,第一次處置,2018-08-24,2018-09-06
2018-10-05,077222,嘉聯益玉山7B購01,1,連續三次,第一次處置,2018-10-08,2018-10-22
2018-10-01,077223,國巨國泰7B購01,1,連續三次,第一次處置,2018-10-02,2018-10-16
2025-10-01,077493,台積電元富64購01,1,連續三次,第一次處置,2025-10-02,2025-10-17
2018-08-15,077674,禾伸堂中信7A購01,1,連續三次,第一次處置,2018-08-16,2018-08-29
2018-08-03,077789,禾伸堂國泰7A購01,1,連續三次,第一次處置,2018-08-06,2018-08-17
2021-05-25,077931,群創群益06購01,1,連續三次,第一次處置,2021-05-26,2021-06-08
2021-05-20,077935,彩晶群益06購01,1,連續三次,第一次處置,2021-05-21,2021-06-03
2021-05-25,077977,群創元大08購01,1,連續三次,第一次處置,2021-05-26,2021-06-08
2021-05-25,078372,群創元大08購03,1,連續三次,第一次處置,2021-05-26,2021-06-08
2021-05-12,078415,立積永豐06購03,1,連續三次,第一次處置,2021-05-13,2021-05-26
2021-05-25,078439,群創群益09購02,1,連續三次,第一次處置,2021-05-26,2021-06-08
2018-10-01,078548,嘉晶國泰7C購01,2,連續三次,第一次處置,2018-10-02,2018-10-16
